Sensor_ID,Final_Tier,Mean_Rank,Top10_Count,Top20_Count,XGB_Sensor_Rank,ANOVA_Eta_Rank,BH_Significant,Bonferroni_Significant,Evidence_Group
33,Tier_1_Multi_Evidence,8.0,3,5,6,33,True,False,B_Overlap_BH
59,Tier_1_Multi_Evidence,9.4,3,5,4,1,True,True,A_Strong_Overlap
129,Tier_1_Multi_Evidence,19.2,0,4,9,16,True,True,A_Strong_Overlap
419,Tier_2_Stable_ML,2.4,5,5,2,310,False,False,C_XGB_Only
511,Tier_2_Stable_ML,4.2,5,5,3,71,False,False,C_XGB_Only
95,Tier_2_Stable_ML,4.4,4,5,1,58,False,False,C_XGB_Only
486,Tier_2_Stable_ML,5.8,4,5,5,223,False,False,C_XGB_Only
31,Tier_2_Stable_ML,10.2,3,5,10,99,False,False,C_XGB_Only
111,Tier_2_Stable_ML,14.0,3,4,8,8,False,False,C_XGB_Only
500,Tier_3_Secondary,19.0,2,3,7,307,False,False,C_XGB_Only
130,Tier_3_Secondary,29.0,0,2,19,39,True,False,B_Overlap_BH
561,Tier_3_Secondary,29.4,1,3,13,221,False,False,C_XGB_Only
183,Tier_3_Secondary,29.8,0,2,18,66,False,False,C_XGB_Only
382,Tier_3_Secondary,30.2,1,2,14,353,False,False,C_XGB_Only
433,Tier_3_Secondary,31.6,3,3,11,105,False,False,C_XGB_Only
213,Tier_3_Secondary,32.2,2,2,12,121,False,False,C_XGB_Only
351,Tier_3_Secondary,54.4,1,2,16,131,False,False,C_XGB_Only
75,Tier_3_Secondary,62.8,0,1,15,213,False,False,C_XGB_Only
487,Tier_3_Secondary,127.0,0,1,20,340,False,False,C_XGB_Only
560,Tier_3_Secondary,191.4,0,0,17,273,False,False,C_XGB_Only
